SDSS_NAME,RA,DEC,MagAve,Sigma
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
083349.55+395047.3,128.45647,39.846474,19.52238377313433,0.25871391191458304
111837.14+280054.9,169.65479,28.015255,19.33916163852242,0.33711888287142044
124058.54+624814.5,190.2438,62.804142,19.042073350000006,0.28944943692396485
012455.55+191221.6,21.231479,19.206003,19.766529500000004,0.3700470197869111
132658.39+455100.9,201.7433,45.850264,20.044576990909086,0.4133661548792373
132038.12+471543.2,200.15886,47.262086,0,0
094555.44+404950.2,146.48101,40.830634,19.729423711934164,0.34327248406030714
015026.85+260524.4,27.611879,26.090132,19.74792908108109,0.303897108424574
235629.03+010930.7,359.121,1.158571,19.914691599526066,0.2014907129737464
150139.40+324809.9,225.41419,32.802753,20.14913256643356,0.37771766374184407
134641.20+623100.5,206.67167,62.516892,19.991694815384612,0.338464095091445
015751.43+274029.6,29.464329,27.674895,0,0
134512.31+442450.3,206.30133,44.413979,19.456662153846136,0.2738763401022776
025306.51-021345.4,43.277135,-2.229287,19.79504481742738,0.3307397522775393
012446.05+250004.7,21.191887,25.001314,20.26513891764706,0.3992014191614811
152022.67+322204.5,230.09449,32.367917,19.56034652272726,0.3094198931335474
011744.43+241726.7,19.435142,24.290775,20.060136597989942,0.36039815573746653
083239.13+434517.6,128.16305,43.754916,19.90001528048781,0.22012154140132728
021507.10-035725.3,33.779611,-3.957032,20.24728489795918,0.31773888271471473
121653.36+424048.8,184.22237,42.680225,20.02694377380953,0.3108937951070847
000716.86+215146.3,1.820267,21.86288,19.117694213414634,0.45855583470907463
142350.04+550316.2,215.95847,55.054594,20.110512543859645,0.31753759512155777
020835.75-020204.8,32.148995,-2.034675,18.98166823875433,0.13636797490333197
021642.27-025843.2,34.176164,-2.978688,20.043838451428567,0.3408725652424609
230020.05+202739.1,345.08357,20.460864,18.813604033132542,0.31516486445995084
020835.75-020204.8,32.148995,-2.034675,18.98166823875433,0.13636797490333197
010810.76-015457.5,17.044852,-1.915995,19.147766741035856,0.24488023524998193
013600.23+240543.0,24.000995,24.095301,19.89821491287879,0.29495141237538636
012822.63+021737.3,22.094301,2.293699,18.749865821958455,0.2189549902034683
004744.16+021803.2,11.934001,2.300903,19.517401789610375,0.2521644357473626
152022.67+322204.5,230.09449,32.367917,19.56034652272726,0.3094198931335474
145302.38+470832.7,223.25992,47.142439,18.905971650273226,0.18865545140930082
094555.44+404950.2,146.48101,40.830634,19.729423711934164,0.34327248406030714
151334.90+485406.1,228.39543,48.901714,19.617865048192765,0.2325158327891398
012822.63+021737.3,22.094301,2.293699,18.749865821958455,0.2189549902034683
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
021507.10-035725.3,33.779611,-3.957032,20.24728489795918,0.31773888271471473
082512.33+472815.8,126.3014,47.471193,0,0
095131.29+503251.0,147.8804,50.547513,20.02101288549619,0.3582294849403271
152022.67+322204.5,230.09449,32.367917,19.56034652272726,0.3094198931335474
085450.39+492315.6,133.70998,49.387751,20.026897166666664,0.3066758948085343
021642.27-025843.2,34.176164,-2.978688,20.043838451428567,0.3408725652424609
212852.68+080308.6,322.21951,8.05239,20.056093854271353,0.47345677806884523
013201.54+235323.4,23.006452,23.889835,20.456606444444443,0.19605066788547904
080608.54+382806.9,121.53561,38.468606,20.254195712962968,0.28496167822369284
081100.33+571134.9,122.75139,57.193049,20.17233945555556,0.26104074229784996
001619.47+043737.4,4.081146,4.627068,20.314919965986405,0.286819466510515
012822.63+021737.3,22.094301,2.293699,18.749865821958455,0.2189549902034683
235005.48+233814.2,357.52283,23.637289,19.798378751196168,0.2519871230540016
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
100047.91+372740.7,150.19963,37.461322,19.775704265151518,0.30742167198302545
225205.31+245250.0,343.02215,24.880565,19.49749889622641,0.32661566122102853
100047.91+372740.7,150.19963,37.461322,19.775704265151518,0.30742167198302545
114156.80+044043.9,175.48671,4.678863,20.566085456666666,0.1989840942919009
221851.83+205114.0,334.71597,20.853903,18.771257139204543,0.300442516937457
015444.58+232610.3,28.685784,23.436201,18.196460865671632,0
124926.31+361801.3,192.35965,36.300367,19.64870835294117,0.29273528466010107
073440.76+445337.6,113.66987,44.893802,19.474961707006354,0.4005710358901242
223100.05+240718.9,337.75023,24.121922,0,0
104614.80+375928.5,161.56169,37.991256,19.591702367647063,0.26197307384356183
111937.60+545513.7,169.90669,54.920573,20.050286324324325,0.3605082725564496
140726.61+282236.1,211.8609,28.376718,17.44115762295081,0
101528.86+533325.5,153.87024,53.557191,19.912339416666672,0.3640405729761093
134512.31+442450.3,206.30133,44.413979,19.456662153846136,0.2738763401022776
115624.92+470435.1,179.10385,47.076432,19.033321225988704,0.23109266864639907
012011.27+200529.9,20.046972,20.091642,0,0
235540.99+281108.4,358.92082,28.185669,19.730993378571423,0.41182841092611006
000716.86+215146.3,1.820267,21.86288,19.117694213414634,0.45855583470907463
152022.67+322204.5,230.09449,32.367917,19.56034652272726,0.3094198931335474
235629.03+010930.7,359.121,1.158571,19.914691599526066,0.2014907129737464
225651.29+234711.9,344.21373,23.786648,19.336398244444453,0.2622433776593807
120132.12+372911.7,180.38384,37.486601,18.759968695792875,0.2929126079731
234006.85+222150.5,355.02855,22.364031,19.93972435135135,0.5450526286394832
114948.93+482459.5,177.45388,48.416621,19.29791969135802,0.22852197804078492
001116.58+133121.1,2.819126,13.522523,19.890563817258883,0.3738930153282624
224033.07+195411.4,340.1378,19.903176,19.949740982142853,0.2868462906937716
004621.65+204525.7,11.59024,20.757157,18.531153166233754,0.10776222420072563
002710.88+210309.1,6.795364,21.052549,19.477952980830658,0.2978736694257748
131727.04+421002.1,199.3627,42.167252,19.97858725625001,0.3525460553430894
142304.15+524630.1,215.7673,52.775047,18.448531,0.12460394680911102
081558.88+224139.3,123.99534,22.694275,19.844211116379324,0.39206386422279454
002440.07+261147.1,6.166968,26.196427,19.24779572659177,0.30455050806590317
014915.96+023324.9,27.316533,2.556933,18.8979650801282,0.25324497453073974
025425.49+033811.3,43.606223,3.636494,18.48497594778068,0.19149277210319962
004744.16+021803.2,11.934001,2.300903,19.517401789610375,0.2521644357473626
134128.52+492438.1,205.36886,49.410674,0,0
164931.65+483523.9,252.38192,48.590051,19.218062073059365,0.22096094911615852
021642.27-025843.2,34.176164,-2.978688,20.043838451428567,0.3408725652424609
142137.77+441355.5,215.4074,44.232092,19.48295141208791,0.3145389703781155
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
000926.13+320441.6,2.358901,32.07823,20.077477282758622,0.42189426355335435
021337.50+023511.9,33.40627,2.586665,19.33847694752188,0.2561238834587169
122124.32+350351.6,185.35135,35.064341,19.468367532374113,0.44572467984445324
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
084007.63+441604.3,130.0318,44.267887,19.68420181226053,0.3041654917972482
002440.07+261147.1,6.166968,26.196427,19.24779572659177,0.30455050806590317
002039.04+275403.7,5.162702,27.90104,0,0
073440.76+445337.6,113.66987,44.893802,19.474961707006354,0.4005710358901242
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
015751.43+274029.6,29.464329,27.674895,0,0
123722.12+402719.4,189.34221,40.455398,20.01030472477064,0.5632177318114592
111856.02+495229.7,169.73344,49.874963,0,0
095503.98+561846.7,148.76655,56.312966,18.45876988888889,0.1694662584755875
025306.51-021345.4,43.277135,-2.229287,19.79504481742738,0.3307397522775393
140004.34+094853.1,210.01811,9.814761,20.36302486821706,0.3220076690667548
003003.16-032100.0,7.513175,-3.350027,19.58902586842104,0.3058891926766706
134147.97+533646.0,205.44989,53.61286,19.42443953125,0.451890240242603
144553.76+131614.1,221.47404,13.270598,19.36483534770117,0.2655723146308535
223100.05+240718.9,337.75023,24.121922,0,0
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
144548.27+075256.0,221.45115,7.882236,19.542875437106925,0.26660537436320836
100047.91+372740.7,150.19963,37.461322,19.775704265151518,0.30742167198302545
124652.20+562122.5,191.71753,56.356329,19.769428095238094,0.1835198147159368
021642.27-025843.2,34.176164,-2.978688,20.043838451428567,0.3408725652424609
084525.57+450156.7,131.35657,45.03244,19.565663687943257,0.3094132380761765
004135.96+282218.6,10.399846,28.371861,18.108607970394743,0.06851261760215473
074604.21+280624.9,116.51758,28.106937,19.73434463736264,0.6741627245027876
150717.62+571727.7,226.82338,57.291095,0,0
021742.25-015937.9,34.42605,-1.993883,18.950868131672586,0.1660810547261576
024650.75+020751.7,41.711468,2.131029,19.396106821782187,0.48962142787435514
004054.38+244623.3,10.22662,24.773161,19.744372418772556,0.39711450632738293
154121.37+063804.1,235.33906,6.634501,0,0
140726.61+282236.1,211.8609,28.376718,17.44115762295081,0
023931.87+002854.0,39.882825,0.481675,18.58666556269114,0.31728055333361826
125659.77+071253.6,194.24905,7.214896,20.154025280612245,0.401631023851468
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
124058.54+624814.5,190.2438,62.804142,19.042073350000006,0.28944943692396485
145349.87+531745.8,223.4578,53.29613,0,0
140023.27+491243.4,210.09696,49.212089,20.454689333333334,0.08397980461475546
133025.74+645424.6,202.60731,64.90688,20.062221823529416,0.41572517177830526
140004.34+094853.1,210.01811,9.814761,20.36302486821706,0.3220076690667548
001453.83+021452.2,3.724331,2.247847,20.25184986153847,0.16606671187033045
013600.23+240543.0,24.000995,24.095301,19.89821491287879,0.29495141237538636
092845.08+134801.4,142.18786,13.800414,20.111758602666676,0.2457100126973425
142438.09+463022.0,216.15871,46.506115,0,0
102559.95+255522.5,156.4998,25.922927,19.82669292592593,0.4441842178152655
002440.07+261147.1,6.166968,26.196427,19.24779572659177,0.30455050806590317
110546.14+641557.3,166.44224,64.266039,19.13526613333334,0.2365855621435576
231201.18+255807.3,348.00492,25.968719,16.44641119999999,0
221851.83+205114.0,334.71597,20.853903,18.771257139204543,0.300442516937457
024650.75+020751.7,41.711468,2.131029,19.396106821782187,0.48962142787435514
232814.76+232305.6,352.06152,23.384892,18.27782465060242,0.15199518535330803
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
104614.80+375928.5,161.56169,37.991256,19.591702367647063,0.26197307384356183
132854.67+470810.0,202.22778,47.13612,19.752376082733804,0.2989831258268766
021642.27-025843.2,34.176164,-2.978688,20.043838451428567,0.3408725652424609
095847.37+503556.5,149.6974,50.599036,20.12936428571428,0.28687513292125394
113714.32+615002.0,174.30962,61.833973,20.38663653571428,0.3979811747222242
003003.16-032100.0,7.513175,-3.350027,19.58902586842104,0.3058891926766706
004716.86+263614.7,11.820291,26.604102,19.92415024365483,0.2616671741142067
012616.13+050209.9,21.56725,5.036112,18.613526491935477,0.21440027720895852
224336.81+191414.0,340.90341,19.237245,19.26226777903683,0.26125774473780955
142350.04+550316.2,215.95847,55.054594,20.110512543859645,0.31753759512155777
113843.38+370830.8,174.68077,37.141891,20.165166801204826,0.32937500199899356
021642.27-025843.2,34.176164,-2.978688,20.043838451428567,0.3408725652424609
114832.56+370815.6,177.1357,37.137686,19.869800903930138,0.3602429837467647
005610.48-013818.6,14.043678,-1.638512,19.903885580645163,0.5529103355796363
015026.85+260524.4,27.611879,26.090132,19.74792908108109,0.303897108424574
021741.23-040035.0,34.421802,-4.009735,19.533908475836434,0.24603083419295657
000926.13+320441.6,2.358901,32.07823,20.077477282758622,0.42189426355335435
131727.04+421002.1,199.3627,42.167252,19.97858725625001,0.3525460553430894
022320.19-030423.0,35.834164,-3.073058,20.076764030769237,0.3505905622813958
154128.24+553156.7,235.36771,55.532513,17.93805906338028,0.07678381924739859
085450.39+492315.6,133.70998,49.387751,20.026897166666664,0.3066758948085343
002440.07+261147.1,6.166968,26.196427,19.24779572659177,0.30455050806590317
083457.00+421911.5,128.73754,42.319867,19.663968691131497,0.3747394793825686
134147.97+533646.0,205.44989,53.61286,19.42443953125,0.451890240242603
131724.06+463228.5,199.35026,46.541278,19.394352038216553,0.26911013037528925
223100.05+240718.9,337.75023,24.121922,0,0
100047.91+372740.7,150.19963,37.461322,19.775704265151518,0.30742167198302545
224033.07+195411.4,340.1378,19.903176,19.949740982142853,0.2868462906937716
121639.52+422951.1,184.16468,42.497541,19.745729579787223,0.3164342542219862
091247.29+392757.5,138.19706,39.465983,20.24863103571428,0.3502558219273873
003003.16-032100.0,7.513175,-3.350027,19.58902586842104,0.3058891926766706
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
022407.67+013126.8,36.031962,1.52412,19.418758046296293,0.46636067754841704
100047.91+372740.7,150.19963,37.461322,19.775704265151518,0.30742167198302545
112026.51+580447.7,170.11046,58.079928,20.498787439999997,0.24211363676413816
114948.93+482459.5,177.45388,48.416621,19.29791969135802,0.22852197804078492
121417.06+275826.6,183.57112,27.974081,20.09567022302158,0.3174283312397194
155400.94+314610.7,238.50394,31.769646,19.52952256228956,0.3081846751518752
012011.27+200529.9,20.046972,20.091642,0,0
102055.59+455219.0,155.23166,45.871949,20.27655028448277,0.30395569085735524
112026.51+580447.7,170.11046,58.079928,20.498787439999997,0.24211363676413816
002538.51+223655.2,6.410493,22.615341,19.357454480565387,0.25834087399147737
132257.77+404750.3,200.74072,40.797323,18.21728491015624,0.09620843802873164
105829.60+013358.8,164.62336,1.566332,16.662969338308454,0.5932418729114654
073440.76+445337.6,113.66987,44.893802,19.474961707006354,0.4005710358901242
004744.16+021803.2,11.934001,2.300903,19.517401789610375,0.2521644357473626
011432.12-015357.6,18.63387,-1.899342,19.44637501626016,0.3184471553651582
020621.18-011624.2,31.588268,-1.27341,18.766246324414706,0.11684034291956304
160546.26+591403.6,241.44272,59.234373,19.324471684615375,0.27513278695715465
152022.67+322204.5,230.09449,32.367917,19.56034652272726,0.3094198931335474
114948.93+482459.5,177.45388,48.416621,19.29791969135802,0.22852197804078492
231201.18+255807.3,348.00492,25.968719,16.44641119999999,0
015026.85+260524.4,27.611879,26.090132,19.74792908108109,0.303897108424574
013600.23+240543.0,24.000995,24.095301,19.89821491287879,0.29495141237538636
111128.79+623629.3,167.86984,62.608283,19.75081019672131,0.4513169258674542
024004.86-054821.3,40.020263,-5.805919,19.27657163385826,0.39416954320271885
002538.51+223655.2,6.410493,22.615341,19.357454480565387,0.25834087399147737
004744.16+021803.2,11.934001,2.300903,19.517401789610375,0.2521644357473626
002838.52-034328.7,7.160507,-3.724645,19.864097329268294,0.31675141005584523
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
141412.84+025409.2,213.55353,2.902579,20.177545128205136,0.3971348665372336
005610.48-013818.6,14.043678,-1.638512,19.903885580645163,0.5529103355796363
025306.51-021345.4,43.277135,-2.229287,19.79504481742738,0.3307397522775393
023237.97-010231.2,38.158243,-1.042023,20.357009290909097,0.3529451434397628
132854.67+470810.0,202.22778,47.13612,19.752376082733804,0.2989831258268766
024650.75+020751.7,41.711468,2.131029,19.396106821782187,0.48962142787435514
225651.29+234711.9,344.21373,23.786648,19.336398244444453,0.2622433776593807
212852.68+080308.6,322.21951,8.05239,20.056093854271353,0.47345677806884523
013600.23+240543.0,24.000995,24.095301,19.89821491287879,0.29495141237538636
142350.04+550316.2,215.95847,55.054594,20.110512543859645,0.31753759512155777
025426.99+044922.3,43.61246,4.822873,18.463109188732385,0.1679116685438108
103439.69+532850.1,158.6654,53.480634,20.133261082568804,0.36390313473836305
111837.14+280054.9,169.65479,28.015255,19.33916163852242,0.33711888287142044
115325.93+251611.4,178.35808,25.269855,19.52701851020409,0.2493722559271525
012326.27+235503.9,20.859492,23.917771,18.92826093235292,0.2607538165124677
221851.83+205114.0,334.71597,20.853903,18.771257139204543,0.300442516937457
212852.68+080308.6,322.21951,8.05239,20.056093854271353,0.47345677806884523
124058.54+624814.5,190.2438,62.804142,19.042073350000006,0.28944943692396485
221851.83+205114.0,334.71597,20.853903,18.771257139204543,0.300442516937457
222311.34+185950.6,335.79727,18.997408,20.300069499999996,0.4545667153868838
001004.36+213218.3,2.518204,21.538431,20.148002274336285,0.370296468194096
095131.29+503251.0,147.8804,50.547513,20.02101288549619,0.3582294849403271
134147.97+533646.0,205.44989,53.61286,19.42443953125,0.451890240242603
101251.66+445532.4,153.21524,44.925695,20.052665957746473,0.259609020356372
122124.32+350351.6,185.35135,35.064341,19.468367532374113,0.44572467984445324
125911.12+482519.7,194.79635,48.422167,19.469649776923074,0.21654472638351982
111837.14+280054.9,169.65479,28.015255,19.33916163852242,0.33711888287142044
005610.48-013818.6,14.043678,-1.638512,19.903885580645163,0.5529103355796363
091247.29+392757.5,138.19706,39.465983,20.24863103571428,0.3502558219273873
230020.05+202739.1,345.08357,20.460864,18.813604033132542,0.31516486445995084
095252.85+405512.3,148.22021,40.920095,19.148979700680268,0.17711923173570457
022320.19-030423.0,35.834164,-3.073058,20.076764030769237,0.3505905622813958
091948.41+400519.7,139.95172,40.088815,19.158647333333334,0.180796431061159
004621.65+204525.7,11.59024,20.757157,18.531153166233754,0.10776222420072563
015026.85+260524.4,27.611879,26.090132,19.74792908108109,0.303897108424574
080608.54+382806.9,121.53561,38.468606,20.254195712962968,0.28496167822369284
133453.37+383647.9,203.7224,38.613328,19.602576811594197,0.2644534795064972
002538.51+223655.2,6.410493,22.615341,19.357454480565387,0.25834087399147737
152613.80+084502.8,231.55751,8.750785,19.570013447963802,0.3122464210118693
100047.91+372740.7,150.19963,37.461322,19.775704265151518,0.30742167198302545
081100.33+571134.9,122.75139,57.193049,20.17233945555556,0.26104074229784996
094555.44+404950.2,146.48101,40.830634,19.729423711934164,0.34327248406030714
223100.05+240718.9,337.75023,24.121922,0,0
111955.69+403623.6,169.98206,40.606583,18.88649273870968,0.17126260066926385
235629.03+010930.7,359.121,1.158571,19.914691599526066,0.2014907129737464
092335.47+312408.9,140.89781,31.402495,17.726721422988483,0.06322458191553532
103439.69+532850.1,158.6654,53.480634,20.133261082568804,0.36390313473836305
100500.34+281252.4,151.25146,28.214578,19.11432340408163,0.2928565363449474
152022.67+322204.5,230.09449,32.367917,19.56034652272726,0.3094198931335474
084007.63+441604.3,130.0318,44.267887,19.68420181226053,0.3041654917972482
134147.97+533646.0,205.44989,53.61286,19.42443953125,0.451890240242603
152022.67+322204.5,230.09449,32.367917,19.56034652272726,0.3094198931335474
100950.90+254712.7,152.46211,25.786877,19.553008837628855,0.3144560290746008
002440.07+261147.1,6.166968,26.196427,19.24779572659177,0.30455050806590317
121639.52+422951.1,184.16468,42.497541,19.745729579787223,0.3164342542219862
111128.79+623629.3,167.86984,62.608283,19.75081019672131,0.4513169258674542
100543.79+165425.9,151.43247,16.907208,19.890188796791445,0.32762475981218325
220425.37+213206.3,331.10572,21.535093,0,0
005810.00+185622.5,14.541707,18.939598,19.2378356446281,0.3766289046204246
101638.73+473619.3,154.16139,47.60537,20.25457902336449,0.35271712610717626
140726.61+282236.1,211.8609,28.376718,17.44115762295081,0
084007.63+441604.3,130.0318,44.267887,19.68420181226053,0.3041654917972482
153901.87+251804.8,234.75781,25.30134,19.175786814925363,0.30704644011958054
012011.27+200529.9,20.046972,20.091642,0,0
223100.05+240718.9,337.75023,24.121922,0,0
074018.29+461422.7,115.07623,46.239653,19.498680165517232,0.37163950688606867
104335.87+115129.1,160.89947,11.858111,16.15795404888887,0
095234.75+503257.3,148.14481,50.54935,19.46787697326203,0.29184423020992295
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
120329.85+480313.6,180.87438,48.05378,16.867239527624292,0.15855680684304216
230210.17-005732.4,345.54241,-0.959023,20.26952173983739,0.15834629327363992
101353.31+391619.0,153.47213,39.271965,19.16952473163842,0.3267432793159394
142137.77+441355.5,215.4074,44.232092,19.48295141208791,0.3145389703781155
012744.95+265440.1,21.937306,26.911156,19.409790767584102,0.2224755068348411
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
002440.07+261147.1,6.166968,26.196427,19.24779572659177,0.30455050806590317
081558.88+224139.3,123.99534,22.694275,19.844211116379324,0.39206386422279454
021642.27-025843.2,34.176164,-2.978688,20.043838451428567,0.3408725652424609
021507.10-035725.3,33.779611,-3.957032,20.24728489795918,0.31773888271471473
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
012446.05+250004.7,21.191887,25.001314,20.26513891764706,0.3992014191614811
000716.86+215146.3,1.820267,21.86288,19.117694213414634,0.45855583470907463
154121.37+063804.1,235.33906,6.634501,0,0
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
150717.62+571727.7,226.82338,57.291095,0,0
101251.66+445532.4,153.21524,44.925695,20.052665957746473,0.259609020356372
005615.87-013042.6,14.066135,-1.511838,20.37767515151515,0.5040431822240389
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
015444.58+232610.3,28.685784,23.436201,18.196460865671632,0
091247.29+392757.5,138.19706,39.465983,20.24863103571428,0.3502558219273873
081558.88+224139.3,123.99534,22.694275,19.844211116379324,0.39206386422279454
224033.07+195411.4,340.1378,19.903176,19.949740982142853,0.2868462906937716
102756.70+254146.8,156.98626,25.696336,18.712002685466388,0.2957751689424551
152613.80+084502.8,231.55751,8.750785,19.570013447963802,0.3122464210118693
014915.96+023324.9,27.316533,2.556933,18.8979650801282,0.25324497453073974
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
100047.91+372740.7,150.19963,37.461322,19.775704265151518,0.30742167198302545
150717.62+571727.7,226.82338,57.291095,0,0
002838.52-034328.7,7.160507,-3.724645,19.864097329268294,0.31675141005584523
091247.29+392757.5,138.19706,39.465983,20.24863103571428,0.3502558219273873
152022.67+322204.5,230.09449,32.367917,19.56034652272726,0.3094198931335474
213451.82+000240.6,323.71593,0.044649,0,0
095847.37+503556.5,149.6974,50.599036,20.12936428571428,0.28687513292125394
014915.96+023324.9,27.316533,2.556933,18.8979650801282,0.25324497453073974
114948.93+482459.5,177.45388,48.416621,19.29791969135802,0.22852197804078492
094555.44+404950.2,146.48101,40.830634,19.729423711934164,0.34327248406030714
140004.34+094853.1,210.01811,9.814761,20.36302486821706,0.3220076690667548
223521.91+195339.7,338.8413,19.894379,19.395661828282833,0.3409913900487322
015545.83+003524.2,28.940982,0.590076,20.222938000000003,0.42529262147371455
220425.37+213206.3,331.10572,21.535093,0,0
110440.72+602822.4,166.16966,60.472994,20.11157,0.3216362435073528
101353.31+391619.0,153.47213,39.271965,19.16952473163842,0.3267432793159394
015026.85+260524.4,27.611879,26.090132,19.74792908108109,0.303897108424574
021742.25-015937.9,34.42605,-1.993883,18.950868131672586,0.1660810547261576
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
131134.38+592010.6,197.89323,59.336361,20.22524025000001,0.37938339550580163
120132.12+372911.7,180.38384,37.486601,18.759968695792875,0.2929126079731
015026.85+260524.4,27.611879,26.090132,19.74792908108109,0.303897108424574
114156.80+044043.9,175.48671,4.678863,20.566085456666666,0.1989840942919009
231531.63+051156.7,348.88181,5.199103,19.41406208359134,0.3226956493901008
095131.29+503251.0,147.8804,50.547513,20.02101288549619,0.3582294849403271
004744.16+021803.2,11.934001,2.300903,19.517401789610375,0.2521644357473626
012744.95+265440.1,21.937306,26.911156,19.409790767584102,0.2224755068348411
125947.30+480241.0,194.94711,48.044725,19.830693756410263,0.3469825597671466
100206.79+423144.6,150.52829,42.529078,18.21561204918034,0.09038609999812927
010810.76-015457.5,17.044852,-1.915995,19.147766741035856,0.24488023524998193
123725.21+475700.1,189.35504,47.950035,20.52384719444445,0.35525868556094403
015751.43+274029.6,29.464329,27.674895,0,0
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
015026.85+260524.4,27.611879,26.090132,19.74792908108109,0.303897108424574
123016.87+392844.5,187.57029,39.479042,20.10097717821782,0.34787031491429166
125911.12+482519.7,194.79635,48.422167,19.469649776923074,0.21654472638351982
111955.69+403623.6,169.98206,40.606583,18.88649273870968,0.17126260066926385
021742.25-015937.9,34.42605,-1.993883,18.950868131672586,0.1660810547261576
025306.51-021345.4,43.277135,-2.229287,19.79504481742738,0.3307397522775393
134128.52+492438.1,205.36886,49.410674,0,0
092736.82+120757.0,141.90342,12.132511,17.69535468760906,0.046449455543315435
101528.86+533325.5,153.87024,53.557191,19.912339416666672,0.3640405729761093
012744.95+265440.1,21.937306,26.911156,19.409790767584102,0.2224755068348411
000926.13+320441.6,2.358901,32.07823,20.077477282758622,0.42189426355335435
012822.63+021737.3,22.094301,2.293699,18.749865821958455,0.2189549902034683
120754.74+370829.9,181.97809,37.141662,19.023481089285713,0.3576232570683842
021337.50+023511.9,33.40627,2.586665,19.33847694752188,0.2561238834587169
152613.80+084502.8,231.55751,8.750785,19.570013447963802,0.3122464210118693
022134.31-043025.6,35.392993,-4.507112,20.057048156249998,0.4341481725669167
124926.31+361801.3,192.35965,36.300367,19.64870835294117,0.29273528466010107
085450.39+492315.6,133.70998,49.387751,20.026897166666664,0.3066758948085343
083953.06+193830.1,129.97109,19.641699,20.1609789140625,0.4693829474429415
095022.36+562349.1,147.59318,56.396977,19.575840210191068,0.3485415431710324
000716.86+215146.3,1.820267,21.86288,19.117694213414634,0.45855583470907463
134128.52+492438.1,205.36886,49.410674,0,0
232856.63+220316.1,352.236,22.054496,19.103851469841285,0.2129769726965317
